aircraft_type,flaps,slats,trim_tab,takeoff_speed,wind_speed,wind_direction,wind_trace_speed
A300-100,30,11,2.4,150,14,FRONT,9
A300-100,30,11,2.4,150,FRONT,14
A-330,10,14,1.2,318,31,BEHIND,5
DC-10,16,12,2.0,196,32,LEFT,1
DC-9,25,15,2.8,241,30,RIGHT,13
DC-10,15,19,3.6,250,25,RIGHT,7
B-777,17,8,1.6,237,6,LEFT,8
DC-10,23,2,1.9,259,26,BEHIND,10
A-330,9,1,1.8,151,18,FRONT,12
B-737,37,18,2.7,245,27,FRONT,2
DC-8,35,10,1.5,144,5,RIGHT,6
A-320,27,14,2.7,317,27,FRONT,12
DC-9,17,8,3.2,235,6,LEFT,5
A-330,11,20,3.4,196,32,FRONT,14
B-737,38,20,2.7,298,12,LEFT,12
A-320,16,19,1.1,215,8,FRONT,6
DC-8,26,18,2.6,166,19,RIGHT,12
A-330,20,20,0.9,230,20,RIGHT,11
DC-9,27,20,2.2,293,12,BEHIND,10
A-300,9,20,3.7,138,12,FRONT,5
B-737,7,7,1.9,283,10,BEHIND,13
B-737,38,3,1.9,219,6,LEFT,12
DC-10,21,17,3.7,252,25,FRONT,11
A-320,25,15,3.6,257,2,BEHIND,4
DC-8,31,8,1.9,138,8,RIGHT,7
A-320,11,7,1.7,155,23,RIGHT,7
B-747,27,6,0.6,303,25,BEHIND,7
DC-10,11,4,3.5,158,14,FRONT,1
B-777,32,15,2.6,318,10,RIGHT,5
DC-10,43,16,0.1,132,4,BEHIND,3
DC-8,10,18,0.0,237,23,FRONT,7
A-330,24,16,2.8,300,26,LEFT,14
DC-8,26,6,2.2,173,8,RIGHT,14
B-747,25,16,2.0,151,4,BEHIND,10
B-737,38,1,0.5,154,31,BEHIND,7
A-320,5,20,0.9,281,25,BEHIND,12
B-777,31,20,1.4,179,31,RIGHT,5
A-320,31,20,2.8,160,13,FRONT,11
DC-9,42,3,3.8,175,31,LEFT,5
B-777,14,20,2.6,309,17,FRONT,15
DC-9,6,8,3.1,171,29,LEFT,3
B-747,7,13,0.1,139,24,RIGHT,11
B-747,16,14,3.7,189,10,BEHIND,1
DC-8,22,13,3.4,162,8,RIGHT,14
DC-10,24,18,2.4,171,25,FRONT,7
B-737,29,6,1.9,270,1,RIGHT,4
A-320,21,4,2.8,281,25,FRONT,8
A-320,35,5,1.4,317,26,LEFT,12
A-320,35,9,4.0,262,19,LEFT,4
B-747,40,10,3.7,204,13,LEFT,8
B-747,7,4,3.2,217,17,RIGHT,15
DC-10,33,10,3.5,197,33,RIGHT,15
B-747,20,20,2.6,216,34,RIGHT,1
B-777,9,7,1.9,172,30,BEHIND,11
B-747,5,20,2.2,254,1,FRONT,5
B-777,40,19,2.3,184,24,LEFT,3
B-737,38,2,3.9,199,27,RIGHT,1
DC-9,5,7,2.5,298,38,FRONT,10
B-777,7,19,1.9,246,1,FRONT,13
B-737,42,4,1.1,184,19,LEFT,11
A-320,42,8,2.2,248,9,FRONT,11
B-747,32,17,1.5,288,26,RIGHT,12
A-300,32,16,2.9,273,22,FRONT,11
B-737,5,5,1.7,284,31,BEHIND,2
A-300,28,10,3.1,212,3,RIGHT,13
A-330,23,2,2.3,244,24,BEHIND,4
B-737,23,12,1.1,252,17,FRONT,13
